date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:21	199409/199409	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:32:03%20GMT	http://cosmosholiday.com.bd/phbooking/pid/2/rid/14/packcode/RM0011	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/phbooking/pid/2/rid/14/packcode/RM0011.html	(from http://cosmosholiday.com.bd/)
18:32:23	46135/46135	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:32:16%20GMT	http://cosmosholiday.com.bd/best_hot_deals.php?bhd=2	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/best_hot_deals33f3.html	(from http://cosmosholiday.com.bd/)
18:32:27	557135/557135	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Dec%202016%2008:33:48%20GMT	http://cosmosholiday.com.bd/img/slider/slider3.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/slider/slider3.jpg	(from http://cosmosholiday.com.bd/)
18:32:27	82333/82333	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Feb%202017%2010:49:18%20GMT	http://cosmosholiday.com.bd/apanel/uploaded/1842.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/uploaded/1842.jpg	(from http://cosmosholiday.com.bd/)
18:32:29	47392/47392	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:32:23%20GMT	http://cosmosholiday.com.bd/best_hot_deals.php?bhd=3	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/best_hot_deals38cd.html	(from http://cosmosholiday.com.bd/)
18:32:31	47385/47385	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:32:24%20GMT	http://cosmosholiday.com.bd/best_hot_deals.php?bhd=4	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/best_hot_deals3f38.html	(from http://cosmosholiday.com.bd/)
18:32:32	59433/59433	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:21:16%20GMT	http://cosmosholiday.com.bd/img/deals01.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/deals01.jpg	(from http://cosmosholiday.com.bd/)
18:32:36	46871/46871	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:32:28%20GMT	http://cosmosholiday.com.bd/video_gallery	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/video_gallery.html	(from http://cosmosholiday.com.bd/)
18:32:37	33176/33176	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2015:57:48%20GMT	http://cosmosholiday.com.bd/img/deals04.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/deals04.jpg	(from http://cosmosholiday.com.bd/)
18:32:39	75345/75345	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2015:57:43%20GMT	http://cosmosholiday.com.bd/img/deals02.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/deals02.jpg	(from http://cosmosholiday.com.bd/)
18:32:44	79399/79399	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Mar%202017%2019:11:14%20GMT	http://cosmosholiday.com.bd/img/deals03.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/deals03.jpg	(from http://cosmosholiday.com.bd/)
18:32:44	41675/41675	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:08:59%20GMT	http://cosmosholiday.com.bd/apanel/country_image/1986.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/1986.jpg	(from http://cosmosholiday.com.bd/)
18:32:45	38180/38180	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:49:09%20GMT	http://cosmosholiday.com.bd/apanel/country_image/6354.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/6354.jpg	(from http://cosmosholiday.com.bd/)
